offer_id_local;page_no;offer_id;psu_power;psu_standard;psu_cert;offer_url;price;brand;rating;model;offer_title;bought
37;83;11129225020;550 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/gigabyte-zasilacz-do-pc-p550b-550w-pfc-120mm-11129225020;239,00 zł aktualna cena;Gigabyte;5,00/58 ocen i 0 recenzji;P550B;Zasilacz Gigabyte P550B 550 W;0 os
38;83;11130847434;650 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-pc-corsair-650w-cp-9020217-eu-11130847434;427,08 zł aktualna cena;Corsair;4,69/513 ocen i 4 recenzje;CX650F;Zasilacz Corsair CX650F 650 W;0 os
39;83;11119154022;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-tx750m-750w-80-gold-s-modular-atx-eu-11119154022;530,17 zł aktualna cena;Corsair;5,00/533 oceny i 2 recenzje;TXM Series 750W 80 Plus;Zasilacz Corsair TXM Series 750W 80 Plus 750 W;0 os
40;83;11119130964;1000 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-lc-power-1000w-lc1000m-v2-31-80-gold-11119130964;873,86 zł aktualna cena;LC Power;;LC1000M V2.31;Zasilacz LC-POWER 1000W LC1000M V2.31 80+GOLD;0 os
41;83;11119140476;650 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-ion-sfx-l-650w-80plus-gold-modularny-11119140476;807,23 zł aktualna cena;Fractal Design;;Ion;Zasilacz Ion SFX-L 650W 80PLUS Gold Modularny;0 os
42;83;11208808634;530 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/smart-se-530w-modular-sprawnosc-80-bronze-11208808634;285,90 zł aktualna cena;Thermaltake;5,00/512 ocen i 0 recenzji;SPS-530M;Zasilacz Thermaltake SPS-530M 530 W;0 os
43;83;10911931946;600 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/be-quiet-zasilacz-system-power-9-600w-80-bronze-10911931946;297,05 zł aktualna cena;be quiet!;4,96/5113 ocen i 19 recenzji;System Power 9;Zasilacz be quiet! System Power 9 600 W;0 os
44;83;10862327369;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-gold-bn283-10862327369;632,15 zł aktualna cena;be quiet!;5,00/554 oceny i 10 recenzji;Straight Power 11;Zasilacz be quiet! Straight Power 11 750 W;0 os
45;83;10896122823;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-straight-power-11-850w-80-gold-f-modu-10896122823;758,64 zł aktualna cena;be quiet!;4,90/529 ocen i 1 recenzja;Straight Power 11 850W 80+ Gold BN284;Zasilacz be quiet! Straight Power 11 850W 80+ Gold BN284 850 W;0 os
46;83;10846312311;500 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/chieftec-gpe-500s-500w-atx-12v-box-10846312311;234,99 zł aktualna cena;Chieftec;5,00/58 ocen i 1 recenzja;GPE-500S 500W ATX-12V BOX;Zasilacz Chieftec GPE-500S 500W ATX-12V BOX 500 W;0 os
47;83;10817369103;550 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-550w-fm-120mm-10817369103;446,81 zł aktualna cena;be quiet!;5,00/52 oceny i 0 recenzji;PURE POWER 11 550W FM;Zasilacz be quiet! PURE POWER 11 550W FM 550 W;0 os
48;83;11493111157;850 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/chieftec-zasilacz-gpu-850fc-850w-powerplay-11493111157;702,40 zł aktualna cena;Chieftec;5,00/53 oceny i 0 recenzji;PowerPlay;Zasilacz Chieftec PowerPlay 850 W;0 os
49;83;11154176369;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-gpx-750fc-750w-powerup-80plus-gold-11154176369;469,95 zł aktualna cena;Chieftec;5,00/55 ocen i 0 recenzji;GPX-750FC;Zasilacz Chieftec GPX-750FC 750 W;0 os
50;83;11689490371;700 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/chieftec-gpe-700s-700w-atx-12v-box-11689490371;311,77 zł aktualna cena;Chieftec;4,98/5100 ocen i 14 recenzji;GPE-700S;Zasilacz Chieftec GPE-700S 700 W;0 os
51;83;11689492769;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-toughpower-grand-rgb-sync-850w-mod-11689492769;765,14 zł aktualna cena;Thermaltake;;PS-TPG-0850FPCGEU-S;Zasilacz Thermaltake Toughpower Grand RGB Sync 850 W;0 os
52;83;10797545260;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/thermaltake-zasilacz-toughpower-gf1-850w-80-gold-10797545260;777,00 zł aktualna cena;Thermaltake;5,00/512 ocen i 1 recenzja;ToughPower GF1;Zasilacz Thermaltake ToughPower GF1 850 W;0 os
